TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
pl.edu.wat.wcy.pz.restaurantServer.Request.Impl.DishRequestImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.22916666666666666,28,6
pl.edu.wat.wcy.pz.restaurantServer.entity.Bill,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8891666666666667,177,173
pl.edu.wat.wcy.pz.restaurantServer.entity.BillPosition,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3957572159298502,117,63
pl.edu.wat.wcy.pz.restaurantServer.controller.BillController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6107142857142858,57,40
pl.edu.wat.wcy.pz.restaurantServer.controller.BillPositionController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6515151515151515,39,26
pl.edu.wat.wcy.pz.restaurantServer.NEW.BillRTableService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6770833333333333,28,18
pl.edu.wat.wcy.pz.restaurantServer.NEW.BillRTableController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6770833333333333,28,18
pl.edu.wat.wcy.pz.restaurantServer.Interface.DishServiceImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,7,7
pl.edu.wat.wcy.pz.restaurantServer.Interface.RTableRepositoryImpl,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6041666666666666,22,12
pl.edu.wat.wcy.pz.restaurantServer.DTO.RTable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.12723214285714285,84,5
pl.edu.wat.wcy.pz.restaurantServer.DTO.Dish,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9140625,47,36
pl.edu.wat.wcy.pz.restaurantServer.DTO.Reservation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,145,145
