Project,k5_r0.3,k10_r0.3,k15_0.3,k5_r0.4,k10_r0.4,k15_0.4,k5_r0.5,k10_r0.5,k15_0.5,k5_r0.6,k10_r0.6,k15_0.6,k5_r0.7,k10_r0.7,k15_0.7,k5_r0.8,k10_r0.8,k15_0.8,k5_r0.9,k10_r0.9,k15_0.9
/home/fracisco/Desktop/MicroRefact/Lab41__Dendrite,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/pibigstar__parsevip,1,no,criaram uma classe abstrata para o dao,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Vino007__javaEEScaffold,1,no,criaram uma classe abstrata para o dao,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/514840279__danyuan-application,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/cym1102__nginxWebUI,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Jannchie__biliob_backend,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/INCF__eeg-database,1,no,criaram uma classe abstrata para o dao,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/kanban__kanban-app,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Frodez__BlogManagePlatform,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/cloudfoundry-attic__login-server,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/atlasapi__atlas,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/metasfresh__metasfresh-webui-api-legacy,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/tangdu__smh2,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/jdmr__mateo,1,no,criaram uma classe abstrata para o dao,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/leluque__university-site-cms,1,no,anotação id em metodos em vez de campos,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/OpenGeoportal__OGP2,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/litblank__hammer,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/kai8406__cmop,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/gliderwiki__glider,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/mozammel__mNet,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/HIIT__dime-server,1,no,anotaçoes em metodos em vez de campos,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/justinbaby__my-paper,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/edgexfoundry__core-data,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/zhangyanbo2007__youkefu,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/EUSurvey__EUSURVEY,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/suyeq__steamMall,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Prasad108__TutesMessanger,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/busing__circle_web,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/bbaibb1009__wxcrm,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/khasang__delivery,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/TexnologiaLogismikou__Fiz,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/uq-eresearch__oztrack,1,no,não utiliza anotaçoes para marcar um DAO (utiliza o entity manager),,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/wang007__live-server,1,no,classe sem anotação @id,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/ushahidi__SwiftRiver-API,1,no,Criaram uma interface para o dao,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/softservedata__lv257,1,no,não utiliza anotaçoes para marcar um DAO (utiliza o entity manager),,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/bao17634__Warehouse-system,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Seenck__jeecg-bpm-3.8,1,??,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/GraffiTab__GraffiTab-Backend,1,??,utiliza orika para o ORM  → possível implementação,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/surajcm__Poseidon,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/WilsonHu__sinsim,1,no,definicao da interface mapper + má proposta de ms,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/dp2-g56__Dp2-L02,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/wangwang1230__te-empl,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Glamdring__welshare,1,??,Criaram uma interface para o dao,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/OHDSI__ArachneCentralAPI,1,??,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/uq-eresearch__lorestore,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/momoplan__dataanalysis,1,no,falta repositorio,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/isa-group__ideas-studio,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/smartcommunitylab__smartcampus.vas.corsi.web,1,yes,ma divisao por parte do algoritmo miguel,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/XMFBee__AuthPlatform1,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/scrumtracker__scrumtracker2017,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/racem-cherni__KinderGartenProject,1,yes,utiliza o crudRepository (adicionar esta condição) caso dei erro é porque o algoritmo de miguel perde classes,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/shangtech__WeiXinPlatform,1,yes,referencia a variável antes de declarar,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/longyzkd__wj-web-ext-enhancer,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/gvSIGAssociation__gvsig-web,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/immime__shop-2,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/hongqiang__shopb2b,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/amit-an__webapp_war_sample,1,no,define interface e dao ,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/SupermePower__zammc-manage,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/dtdhehe__ptu-life,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/lancelee98__PeopleMange,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/398907877__AppPortal,1,no,erros no codigo,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/xabaohui__zis,1,yes,ERRO POR CAUSA DA COPIA DE EXTENDS ( UMA CLASSE É COPIADA E A PROCURA DA MATCH NA 1º OCORRENCIA,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Russel-JX__OUC-Family,1,yes,Estava a ler classes que testes que não entravam na AST,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/Maxcj__Maxcj,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/assertmyself__gweb-v2,0,,,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/VN-Lf__GitNo3,1,no,Definem um baseDAO,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/hyperaeon__CrazyAndOptimize,1,yes,possível ma divisao anteriormente,,,,,,,,,,,,,,,,,,
/home/fracisco/Desktop/MicroRefact/veerappanvs__elae.cap,1,no,falta repositorio,,,,,,,,,,,,,,,,,,
