Project,#Classes,#Proposal MicroService,Result,#Microservices generated,#Classes after refactoring,Have Tests?,Results of Tests,Note,%NEW CLASSES,Entities,Relationships,Dependencies
/home/fracisco/Desktop/MicroRefact/scrumtracker__scrumtracker2017,44,6,0,7,163,No,,,"270,454545454545",5,5,97
/home/fracisco/Desktop/MicroRefact/asledziewski__restaurantServer ,38,7,0,8,138,No,,,"263,157894736842",7,5,37
/home/fracisco/Desktop/MicroRefact/st52542__eshopSemPrace,59,7,0,8,197,Yes,Same resutl in both versions,,"233,898305084746",9,9,32
/home/fracisco/Desktop/MicroRefact/BarCzerw__inTeams,57,5,0,6,188,Yes,Same resutl in both versions,,"229,824561403509",6,8,52
/home/fracisco/Desktop/MicroRefact/navinsharma25__Hotel-Booking-Management-System,43,8,0,8,140,Yes,Same resutl in both versions,,"225,581395348837",,,
/home/fracisco/Desktop/MicroRefact/EUSurvey__EUSURVEY,356,11,0,11,1133,Yes,Same resutl in both versions,,"218,258426966292",87,0,6949
/home/fracisco/Desktop/MicroRefact/lionsdamajectim__Champink,35,5,0,5,104,No,,,"197,142857142857",11,18,39
/home/fracisco/Desktop/MicroRefact/mozammel__mNet,148,16,0,16,438,Yes,Same resutl in both versions,,"195,945945945946",20,38,78
/home/fracisco/Desktop/MicroRefact/ariv98__Online-medicine-shopping-ecommerce,69,8,0,8,204,Yes,Same resutl in both versions,,"195,652173913043",7,8,6
/home/fracisco/Desktop/MicroRefact/paulosanchezh__IwRepository,50,6,0,8,144,No,,,188,19,11,32
/home/fracisco/Desktop/MicroRefact/SLCricketLeaderBoard__SLCricketLeaderBoard_BackEnd,140,14,0,14,385,No,,,175,26,24,220
/home/fracisco/Desktop/MicroRefact/MenkeTechnologies__puffride,41,9,0,9,103,No,,,"151,219512195122",9,11,1
/home/fracisco/Desktop/MicroRefact/CocayUNAM__ProyectoUNAM,112,9,0,9,279,No,,,"149,107142857143",19,12,184
/home/fracisco/Desktop/MicroRefact/cym1102__nginxWebUI,127,12,0,12,315,No,,,"148,031496062992",0,0,269
/home/fracisco/Desktop/MicroRefact/Khrustal__coursework-backend,34,4,0,5,83,No,,,"144,117647058824",7,5,16
/home/fracisco/Desktop/MicroRefact/yu-gotcha__time-attack-web,32,4,0,4,78,No,,,"143,75",7,8,5
/home/fracisco/Desktop/MicroRefact/bau03__E-Ticaret-Backend-Springboot,97,10,0,11,236,No,,,"143,298969072165",14,13,123
/home/fracisco/Desktop/MicroRefact/dp2-g56__Dp2-L02,245,12,0,12,585,Yes,Same resutl in both versions,,"138,775510204082",43,0,1119
/home/fracisco/Desktop/MicroRefact/kai8406__cmop,237,13,0,13,557,No,,,"135,021097046414",40,0,1096
/home/fracisco/Desktop/MicroRefact/wn150509__OA_system,237,12,0,13,535,No,,,"125,738396624473",47,33,510
/home/fracisco/Desktop/MicroRefact/Prasad108__TutesMessanger,109,11,0,11,238,No,,,"118,348623853211",20,0,208
/home/fracisco/Desktop/MicroRefact/bbaibb1009__wxcrm,95,12,0,12,206,No,,,"116,842105263158",21,0,165
/home/fracisco/Desktop/MicroRefact/XMFBee__AuthPlatform1,281,22,0,22,609,No,,,"116,725978647687",0,0,1258
/home/fracisco/Desktop/MicroRefact/Eliathen__sharelibrary,182,13,0,14,393,Yes,Same resutl in both versions,,"115,934065934066",13,20,53
/home/fracisco/Desktop/MicroRefact/namndph10091__VINFAST,45,5,0,5,97,No,,,"115,555555555556",6,4,12
